"國際學人人數,1993-2015",,,國際學人(包括大陸及港澳地區)定義為訪問時間一周(含以上)者，且訪問目的為講學、講座、研究及進修等者。參訪期間低於1週者，或參訪內容僅為演講者，不得列入計算,,,,,,,,,
Year,Total,Liberal Art,Science,Social Science,Medicine,Engineering,Bio,Management,Public Sanitary,EE,Law,Life Science
1993,31,2,14,6,,5,2,2,,,,
1994,31,1,11,3,,13,2,1,,,,
1995,29,2,7,3,1,11,4,1,,,,
1996,47,4,19,4,,19,1,,,,,
1997,51,3,16,5,,9,1,,,17,,
1998,23,,5,,,8,6,,,4,,
1999,26,2,5,0,0,8,4,0,1,6,0,
2000,25,4,12,1,2,3,1,0,0,0,0,
2001,23,1,16,1,1,1,0,1,0,1,1,
2002,33,3,12,2,2,10,0,3,0,0,1,
2003,28,4,14,1,0,5,4,0,0,0,0,0
2004,78,5,64,0,0,5,3,1,0,0,0,0
2005,78,3,57,0,1,6,4,0,0,2,5,0
2006,107,8,74,0,1,5,17,1,0,1,0,0
2007,27,10,2,5,1,1,8,0,0,0,0,0
2008,263,9,100,6,14,33,19,44,2,28,4,4
2009,359,44,155,1,9,12,58,39,1,30,2,8
2010,167,22,100,3,1,9,3,5,1,12,8,6
2011,205,0,100,12,8,14,43,3,0,11,8,6
2012,236,45,120,14,6,5,17,4,0,15,8,2
2013,132,60,4,32,0,1,21,2,1,5,6,0
2014,129,9,54,43,2,9,5,0,0,1,0,6
2015,287,10,129,19,3,17,36,32,7,12,22,0
