Year,Total,Liberal Art,Science,Social Science,Medicine,Engineering,Bio,Management,Public Sanitary,EE,Law,Life Science
1993,59,18,3,2,8,6,20,2,,,,
1994,88,20,6,5,3,3,50,1,,,,
1995,49,8,5,19,2,5,2,8,,,,
1996,84,13,4,30,5,14,6,12,,,,
1997,66,7,3,10,7,11,4,12,1,11,,
1998,93,13,13,20,11,13,5,15,,3,,
1999,95,12,9,16,16,14,3,15,1,4,5,
2000,131,26,10,18,23,14,9,25,1,3,2,
2001,84,23,5,8,13,10,0,20,0,4,1,
2002,110,23,3,14,26,11,3,26,0,2,2,
2003,112,26,4,12,24,9,2,28,1,2,2,2
2004,127,34,4,11,23,4,2,37,0,3,6,3
2005,153,32,8,23,23,16,3,32,3,4,8,1
2006,222,50,21,15,20,14,14,46,0,26,12,4
2007,273,51,11,29,40,19,6,72,0,23,13,9
2008,348,49,12,32,34,31,21,123,1,36,18,12
2009,366,56,13,36,59,36,8,158,1,29,15,9
2010,428,87,16,57,8,12,13,188,2,31,8,6
2011,554,98,28,60,10,48,31,185,7,41,33,13
2012,775,114,131,76,45,66,51,198,7,34,33,20
2013,1079,180,89,143,63,107,111,249,7,55,46,29
