"交換教師送出人數,1993-2014",,,,,,,,,,,,
Year,Total,Liberal Art,Science,Social Science,Medicine,Engineering,Bio,Management,Public Sanitary,EE,Law,Life Science
1993,40,2,12,12,,7,6,,1,,,
1994,37,3,13,5,,8,4,2,2,,,
1995,35,7,4,8,,9,3,3,1,,,
1996,72,15,17,7,13,9,5,5,1,,,
1997,70,14,13,15,10,9,5,,1,3,,
1998,38,4,4,2,5,11,5,,2,5,,
1999,58,7,15,3,6,5,4,11,3,3,1,
2000,54,15,8,6,5,10,2,2,1,2,3,
2001,25,6,3,6,1,0,5,1,0,2,0,
2002,32,10,6,3,1,6,2,0,0,2,2,
2003,39,6,11,5,4,7,1,0,0,2,3,0
2004,35,7,6,0,3,11,2,3,0,1,1,1
2005,36,7,7,6,0,2,3,0,0,2,9,0
2006,60,4,31,8,6,3,3,0,0,4,1,0
2007,19,6,1,2,6,2,2,0,0,0,0,0
2008,91,5,40,8,1,11,8,11,0,5,0,2
2009,158,18,39,1,6,8,28,47,0,6,4,1
2010,104,29,27,2,2,8,4,20,0,9,0,7
2011,140,0,49,4,4,4,13,34,2,9,1,20
2012,143,20,32,8,5,2,16,7,1,10,5,37
2013,91,14,43,5,5,1,4,0,0,6,1,12
2014,96,7,56,1,4,4,7,0,2,13,1,1
